 上一期开奖号码：874
 开奖号码：997,    猜测结果：失败
 原因：
    原因1：代码筛选条件之一： 去除和值大于20 的号码 , 在这里给过滤掉了
    原因2：手动筛选条件之一： 首位小于8， 这里给筛选了
           手动筛选之三： 放弃 和值的个位数等于 5 的号码(根据历史看 5 已经很久没出了)，这里又给过滤掉了
 
 
 
 #代码筛选：筛选历史重复 3 次及以上，并且非连号，非豹子号，并且半年内没有开过的号码

 和值大于10 并且小于20的 号：803
 和值大于10 并且小于20的 号：805
 和值大于10 并且小于20的 号：806
 和值大于10 并且小于20的 号：808
 和值大于10 并且小于20的 号：809
 和值大于10 并且小于20的 号：811
 和值大于10 并且小于20的 号：812
 和值大于10 并且小于20的 号：813
 和值大于10 并且小于20的 号：814
 和值大于10 并且小于20的 号：815
 和值大于10 并且小于20的 号：816
 和值大于10 并且小于20的 号：817
 和值大于10 并且小于20的 号：819
 和值大于10 并且小于20的 号：820
 和值大于10 并且小于20的 号：821
 和值大于10 并且小于20的 号：823
 和值大于10 并且小于20的 号：825
 和值大于10 并且小于20的 号：828
 和值大于10 并且小于20的 号：829
 和值大于10 并且小于20的 号：830
 和值大于10 并且小于20的 号：831
 和值大于10 并且小于20的 号：832
 和值大于10 并且小于20的 号：833
 和值大于10 并且小于20的 号：835
 和值大于10 并且小于20的 号：836
 和值大于10 并且小于20的 号：837
 和值大于10 并且小于20的 号：838
 和值大于10 并且小于20的 号：840
 和值大于10 并且小于20的 号：841
 和值大于10 并且小于20的 号：843
 和值大于10 并且小于20的 号：844
 和值大于10 并且小于20的 号：845
 和值大于10 并且小于20的 号：846
 和值大于10 并且小于20的 号：847
 和值大于10 并且小于20的 号：848
 和值大于10 并且小于20的 号：850
 和值大于10 并且小于20的 号：851
 和值大于10 并且小于20的 号：854
 和值大于10 并且小于20的 号：855
 和值大于10 并且小于20的 号：856
 和值大于10 并且小于20的 号：857
 和值大于10 并且小于20的 号：860
 和值大于10 并且小于20的 号：861
 和值大于10 并且小于20的 号：862
 和值大于10 并且小于20的 号：863
 和值大于10 并且小于20的 号：864
 和值大于10 并且小于20的 号：865
 和值大于10 并且小于20的 号：866
 和值大于10 并且小于20的 号：870
 和值大于10 并且小于20的 号：871
 和值大于10 并且小于20的 号：872
 和值大于10 并且小于20的 号：875
 和值大于10 并且小于20的 号：880
 和值大于10 并且小于20的 号：881
 和值大于10 并且小于20的 号：884
 和值大于10 并且小于20的 号：890
 和值大于10 并且小于20的 号：891
 和值大于10 并且小于20的 号：892
 和值大于10 并且小于20的 号：893
 和值大于10 并且小于20的 号：902
 和值大于10 并且小于20的 号：903
 和值大于10 并且小于20的 号：904
 和值大于10 并且小于20的 号：905
 和值大于10 并且小于20的 号：906
 和值大于10 并且小于20的 号：907
 和值大于10 并且小于20的 号：908
 和值大于10 并且小于20的 号：910
 和值大于10 并且小于20的 号：911
 和值大于10 并且小于20的 号：912
 和值大于10 并且小于20的 号：913
 和值大于10 并且小于20的 号：915
 和值大于10 并且小于20的 号：916
 和值大于10 并且小于20的 号：917
 和值大于10 并且小于20的 号：918
 和值大于10 并且小于20的 号：919
 和值大于10 并且小于20的 号：920
 和值大于10 并且小于20的 号：921
 和值大于10 并且小于20的 号：922
 和值大于10 并且小于20的 号：923
 和值大于10 并且小于20的 号：924
 和值大于10 并且小于20的 号：925
 和值大于10 并且小于20的 号：926
 和值大于10 并且小于20的 号：927
 和值大于10 并且小于20的 号：928
 和值大于10 并且小于20的 号：929
